Valor  Frequência
377        4
829        4
64        4
340        4
828        3
581        3
542        3
415        3
942        3
394        3
804        3
892        3
313        2
693        2
52        2
452        2
286        2
224        2
550        2
982        2
530        2
545        2
555        2
571        2
594        2
306        2
136        2
661        2
480        2
932        2
700        2
705        2
816        2
399        2
186        2
22        2
74        2
793        2
834        2
428        2
502        2
948        2
887        2
469        2
83        2
381        2
45        2
768        2
717        2
153        2
221        2
320        2
952        2
464        2
420        2
808        2
756        2
785        2
165        2
41        2
65        2
304        2
276        2
546        2
97        2
552        2
588        2
500        2
814        2
979        2
911        2
321        2
475        2
585        2
633        2
268        2
436        2
105        2
271        2
222        2
484        2
850        2
781        2
720        2
603        2
61        2
613        2
39        2
790        2
894        2
498        2
795        2
893        2
868        2
1        1
999        1
2        1
992        1
8        1
15        1
67        1
985        1
984        1
983        1
138        1
316        1
978        1
977        1
974        1
973        1
972        1
970        1
660        1
968        1
960        1
318        1
662        1
950        1
664        1
946        1
139        1
666        1
672        1
676        1
678        1
929        1
927        1
68        1
147        1
323        1
680        1
908        1
681        1
328        1
691        1
152        1
334        1
886        1
884        1
881        1
878        1
877        1
695        1
873        1
872        1
696        1
867        1
864        1
335        1
856        1
855        1
854        1
702        1
849        1
847        1
845        1
40        1
842        1
838        1
69        1
704        1
341        1
707        1
708        1
157        1
825        1
344        1
709        1
811        1
809        1
715        1
806        1
347        1
799        1
72        1
161        1
348        1
792        1
722        1
728        1
789        1
786        1
356        1
729        1
731        1
780        1
777        1
774        1
357        1
735        1
741        1
763        1
360        1
759        1
758        1
742        1
748        1
73        1
169        1
365        1
749        1
374        1
172        1
760        1
765        1
174        1
382        1
773        1
383        1
387        1
784        1
391        1
43        1
76        1
187        1
392        1
791        1
188        1
397        1
797        1
77        1
189        1
400        1
404        1
193        1
411        1
413        1
10        1
24        1
657        1
79        1
652        1
651        1
647        1
642        1
201        1
414        1
827        1
632        1
626        1
832        1
622        1
203        1
833        1
421        1
611        1
608        1
80        1
602        1
600        1
204        1
589        1
843        1
587        1
432        1
583        1
205        1
578        1
433        1
434        1
569        1
567        1
566        1
562        1
560        1
559        1
47        1
81        1
208        1
857        1
551        1
445        1
213        1
447        1
544        1
876        1
82        1
540        1
536        1
533        1
215        1
529        1
523        1
521        1
518        1
517        1
512        1
511        1
453        1
504        1
993        1
990        1
988        1
496        1
495        1
493        1
491        1
488        1
969        1
482        1
959        1
478        1
943        1
940        1
939        1
472        1
922        1
913        1
895        1
457        1
217        1
459        1
461        1
27        1
48        1
218        1
463        1
915        1
85        1
474        1
476        1
49        1
86        1
226        1
230        1
95        1
231        1
232        1
6        1
11        1
34        1
96        1
239        1
986        1
243        1
247        1
510        1
248        1
53        1
98        1
249        1
258        1
99        1
265        1
266        1
35        1
57        1
541        1
270        1
106        1
272        1
111        1
273        1
557        1
558        1
113        1
279        1
656        1
311        1
310        1
639        1
307        1
624        1
620        1
619        1
298        1
295        1
294        1
292        1
291        1
287        1
574        1
284        1
281        1
13        1
37        1
62        1
115        1
116        1
63        1
120        1
123        1
38        1
125        1
302        1
133        1
309        1
638        1
137        1
